name,ring,quadrant,isNew,description
Server side prerendering (e.g. Nuxt),Adopt,techniques,FALSE,"<p>A technique supported by frameworks such as Nuxt.js and Blazor that allows routes in a single-page app to be handled and rendered on the server.</p>
<p>For sites that require SEO, it's important to use a framework that supports this. Some key advantages over purely browser-based SPAs are:</p>
<ul><li>Improved SEO over single-page apps as search engines can crawl fast, pre-rendered and cacheable pages with the right meta tags.</li>
<li>Fast page load times from deep links as we're able to deliver a fully-rendered page with edge caching for frequently-accessed content.</li>
<li>The browser can switch the page to a single-page app as soon as the additional UI code had loaded, providing a seamless transition to single-page app user experience.</li></ul>"
"Serverless ASP.NET
(lambda)",Trial,techniques,FALSE,"<p>ASP.NET Core applications can be deployed as AWS Lambda functions for serverless operation.</p>
<p>Useful for migrating services from VMs and EC2 into serverless infrastructure. Cold start times can cause high latency for some requests, but there are mitigations for this.</p>
<p>When compared to <i>ASP.NET Core microservices</i>, this approach can have advantages. As the URI routing is handled internally, multiple endpoints can be exposed through a single API Gateway route with wildcards, making deployments simpler.</p>"
Amazon Aurora,Assess,tools,FALSE,"<p>An RDBMS service provided by Amazon that offers compatibility with MySQL and PostgreSQL, with improved performance and availability over standard open-source deployments.</p>
<p>There can be significant cost savings compared to SQL Server in AWS, and Aurora Serverless adds flexibility by enabling automatic scaling and some maintenance operations without downtime. These uptime advantages are particularly appealing for applications requiring high availability.</p>
<p>While our existing expertise with SQL Server remains a factor, a 2023 evaluation suggested that PostgreSQL would be our preferred engine if we adopt Aurora. Aurora is a strong candidate for greenfield projects and cloud-native workloads where licensing cost, scalability, or availability are key considerations.</p>"
Browserstack,Hold,tools,FALSE,"<p>A cloud-based, cross-browser testing platform used to test and debug web applications on various browsers and devices in real-time.</p>
<p>Our use of this service is diminishing as we've found other tools like Playwright to be a much better fit for us, but it's useful for testing specific edge cases involving unique browser and platform combinations. It's also very useful to be able to test with a variety of devices and form factors, especially phones.</p>"
Docker Desktop,Adopt,tools,FALSE,"<p>A desktop Docker engine with Linux and Windows virtualization support, useful for local container development and debugging.</p>
<p>We use Docker Desktop in scenarios such as container-based development with Devcontainers, local debugging, and when setting up Fargate containers. It is especially helpful when authoring and testing Dockerfiles intended for deployment in our pipelines. However, it is not currently one of our default developer tools and is used on a case-by-case basis.</p>"
MongoDB,Assess,tools,FALSE,"<p>A NoSQL database management system that is well suited to running complex queries and aggregations over large, unstructured data sets. Supports JSON and BSON. Amazon DocumentDB is compatible with MongoDB.</p>
<p>Although a well-established technology, we haven't recently identified any use cases where it would be particularly advantageous to us. We began developing with MongoDB in 2022 on the basis that Amazon DocumentDB would be compatible, but in practice we found that DocumentDB didn't fully support the API features expected by the .NET drivers for MongoDB, which hampered our work and led to switching to another technology. Amazon now offers good .NET support for DocumentDB.</p>"
MSSQL,Adopt,tools,FALSE,"<p>SQL Server has been our default RDBMS for many years. We have extensive in-house experience with SQL Server and it has high-quality supporting tools. It is supported in Amazon RDS but is expensive compared to other options such as Aurora, and SQL Server Cartridges are not supported in RDS.</p>
<p>We don't see a compelling need to migrate applications away from SQL Server, but we would consider other options for new projects, especially the Aurora engines in AWS.</p>"
Storybook,Adopt,tools,FALSE,"<p>An open-source tool suite for building, testing, accessibility checking and documenting shared UI components.</p>
<p>Storybook has helped us to build rich documentation and visualisation around our UI component library. Good integration with Frontify. It has a large set of capabilities we have yet to explore, including automated testing, user workflows and prototyping tools.</p>"
Code Rabbit,Assess,tools,TRUE,"<p>An AI-powered tool focused on automated code review rather than code generation.</p>
<p>Code Rabbit offers AI assistance during the review process, helping to highlight issues, suggest improvements, and support reviewer productivity. While useful, its features are not unique and are likely to be offered through more widely adopted platforms such as GitHub Copilot in the near future.</p>"
GitHub Copilot,Assess,tools,TRUE,"<p>An AI-powered coding assistant integrated into Visual Studio and VS Code, designed to suggest code completions, generate boilerplate, and assist with development tasks.</p>
<p>Copilot offers good IDE integration and can accelerate development workflows, but comes with challenges including variable pricing, code hallucinations, and inconsistent output quality. For more in-depth queries, we’ve often found that ChatGPT provides better answers. Its usefulness may depend on individual developer workflow and tolerance for occasional inaccuracies.</p>"
Continue.dev,Trial,tools,TRUE,"<p>An open-source AI coding assistant. Integrates well with Visual Studio Code.</p>
<p>Flexible in terms of which language models can be used. No support for full Visual Studio though.</p>"
Amazon DocumentDB,Assess,tools,TRUE,"<p>Amazon DocumentDB is a fully managed, scalable, and highly available document database service that is compatible with MongoDB. It is designed to handle JSON workloads efficiently. Our work with DocumentDB was held back by .NET libary support (see <i>MongoDB</i>), but the situation is much improved now.</p>
<p>Currently there is no serverless offering for DocumentDB, which makes it a much less compelling choice for us than an alternative like DynamoDB, S3 or an Aurora engine.</p>"
